dataset,model,attack_score,score_role,metric,point_hardened,ci_lower_hardened,ci_upper_hardened,ci_width_hardened,confidence,n_bootstrap_hardened,random_state,n_members,n_nonmembers,point_stage1,ci_lower_stage1,ci_upper_stage1,ci_width_stage1,n_bootstrap_stage1,ci_width_ratio_hardened_over_stage1
adult_income,random_forest,modified_entropy,best_auc_score,TPR@1%FPR,0.0141473456121343,0.0136852673981592,0.0145926475208535,0.0009073801226943,0.95,1000,20262504,24421,24421,0.0141473456121343,0.0137876984126984,0.0145630919398815,0.0007753935271831,50,1.1702188513111391
adult_income,random_forest,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0014147345612134,0.0013706929024283,0.0014617422126507,9.104931022238289e-05,0.95,1000,20262505,24421,24421,0.0014147345612134,0.0013696870250545,0.0014590878044302,8.940077937563792e-05,50,1.0184397816021076
adult_income,random_forest,neg_loss,canonical_neg_loss,AUC,0.6286392984362938,0.6239330725867175,0.633157136345029,0.0092240637583115,0.95,1000,20262603,24421,24421,0.6286392984362937,0.624342093837966,0.6339587919983419,0.0096166981603759,50,0.959171599699137
adult_income,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0141473456121343,0.0136841367490323,0.0146217511478588,0.0009376143988264,0.95,1000,20262604,24421,24421,0.0141473456121343,0.0137876984126984,0.0145630919398815,0.0007753935271831,50,1.209211021186399
adult_income,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0014147345612134,0.001365903271905,0.0014618357455379,9.593247363288526e-05,0.95,1000,20262605,24421,24421,0.0014147345612134,0.0013696870250545,0.0014590878044302,8.940077937563792e-05,50,1.0730608200830434
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.8696655061924982,0.8670447856329496,0.8723440955759668,0.0052993099430171,0.95,1000,20262703,24421,24421,0.8696655061924982,0.867268939863822,0.872621830211422,0.0053528903476,50,0.9899903788227375
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0383765519409083,0.0376487434474252,0.039142393395319,0.0014936499478937,0.95,1000,20262704,24421,24421,0.0383765519409083,0.037596722177136,0.0392017763218356,0.0016050541446995,50,0.930591626971776
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0038376551940908,0.0037603826609177,0.0039222732200888,0.000161890559171,0.95,1000,20262705,24421,24421,0.0038376551940908,0.0037460693732143,0.0038845610966849,0.0001384917234706,50,1.1689547585518154
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5129719491163598,0.5077697809133074,0.5182910135095044,0.0105212325961969,0.95,1000,20262803,24421,24421,0.5129719491163599,0.5083579189797556,0.5185901952509921,0.0102322762712365,50,1.0282396914724312
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0098742885221735,0.0083051062610048,0.0115064903157118,0.003201384054707,0.95,1000,20262804,24421,24421,0.0098742885221735,0.0083626796609475,0.011512251238688,0.0031495715777404,50,1.0164506427898907
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.001065868263473,0.0008600854112694,0.0013266761006289,0.0004665906893595,0.95,1000,20262805,24421,24421,0.001065868263473,0.0008783988864942,0.0013199829240526,0.0004415840375584,50,1.0566294287704927
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5021225613176207,0.4967012967864995,0.5077969653516924,0.0110956685651928,0.95,1000,20262903,20594,20594,0.5021225613176207,0.4978832311856743,0.5068450739486696,0.0089618427629952,50,1.238101231926149
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0102457026318345,0.0084478488880256,0.0130134990774011,0.0045656501893755,0.95,1000,20262904,20594,20594,0.0102457026318345,0.0082281246965135,0.0121333883655433,0.0039052636690298,50,1.1691016474976612
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0013596193065941,0.0005341361561619,0.002282218121783,0.001748081965621,0.95,1000,20262905,20594,20594,0.0013596193065941,0.0007392929979605,0.0019848013984655,0.001245508400505,50,1.4035087719297823
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score,AUC,0.5121685482304054,0.5067827058174679,0.5175859432429439,0.010803237425476,0.95,1000,20263003,20594,20594,0.5121685482304053,0.5072047754232555,0.5176365448710446,0.0104317694477891,50,1.0356092971136004
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@1%FPR,0.0120909002622122,0.009903369913567,0.0147130232106438,0.0048096532970768,0.95,1000,20263004,20594,20594,0.0120909002622122,0.0102189958240264,0.0146535398659803,0.0044345440419539,50,1.084588009854926
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0013596193065941,0.0006593740895406,0.0020396571817034,0.0013802830921627,0.95,1000,20263005,20594,20594,0.0013596193065941,0.0006531028454889,0.0019313877828493,0.0012782849373603,50,1.0797929724596689
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5121685435146792,0.5064653975716972,0.5176669361051831,0.0112015385334859,0.95,1000,20263103,20594,20594,0.5121685435146792,0.507204767200208,0.5176365376500889,0.0104317704498808,50,1.0737907421662922
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0120909002622122,0.0101485869670777,0.0148101388754006,0.0046615519083228,0.95,1000,20263104,20594,20594,0.0120909002622122,0.0102189958240264,0.0146535398659803,0.0044345440419539,50,1.0511908020804948
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0013596193065941,0.0006596114159463,0.0021143561231426,0.0014547447071962,0.95,1000,20263105,20594,20594,0.0013596193065941,0.0006531028454889,0.0019313877828493,0.0012782849373603,50,1.13804415954419
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.659716010104443,0.6541583675682477,0.6648210196177604,0.0106626520495126,0.95,1000,20263203,20594,20594,0.659716010104443,0.6559962427369211,0.664091685201907,0.0080954424649858,50,1.3171178839983646
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0250330639235855,0.0235472683008034,0.0265678884680991,0.0030206201672957,0.95,1000,20263204,20594,20594,0.0250330639235855,0.0239298396568772,0.0268976525465828,0.0029678128897055,50,1.0177933311676668
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0025033063923585,0.0023625512287715,0.0026549657693234,0.0002924145405519,0.95,1000,20263205,20594,20594,0.0025033063923585,0.002349427150134,0.0026542519359384,0.0003048247858044,50,0.959287282955844
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.8806837586495496,0.8778812549014668,0.8838161369041894,0.0059348820027225,0.95,1000,20263303,20594,20594,0.8806837586495497,0.877796324172089,0.883531337695707,0.005735013523618,50,1.0348505680555764
